Nombre,Plataforma,Fecha_Salida,Score,Score_Jugadores,Desarrollador,Genero,Jugadores,Criticos,Usuarios,Anio,Mes,Numero_Dia,Nombre_Dia,Lista_Generos
Mark McMorris Infinite Air,PlayStation4,2016-10-25,50,73.0,HBStudiosMultimedia,"sports,individual,ski/snowboard",2,16,60,2016,10,25,Mar,"['ski/snowboard', 'sports', 'individual']"
Reservoir Dogs,PlayStation2,2006-10-24,50,75.0,"SCi,VolatileGames","actionadventure,modern",1,26,17,2006,10,24,Mar,"['actionadventure', 'modern']"
Big Mutha Truckers 2,Xbox,2005-08-23,50,37.0,Eutechnyx,"driving,mission-based",1,31,6,2005,8,23,Mar,"['driving', 'mission-based']"
Devil May Cry 2,Switch,2019-09-19,50,80.0,Capcom,"actionadventure,linear",1,8,62,2019,9,19,Jue,"['actionadventure', 'linear']"
Spider-Man: Edge of Time,3DS,2011-10-04,50,62.0,Beenox,"action,adventure,beat-'em-up,fantasy,third-person,fantasy,3d",1,7,13,2011,10,4,Mar,"['adventure', '3d', 'third-person', ""beat-'em-up"", 'fantasy', 'action']"
Narco Terror,Xbox360,2013-07-31,50,59.0,KochMedia,"action,general,general,shooter,third-person,modern,arcade",No info,13,13,2013,7,31,Mie,"['arcade', 'third-person', 'shooter', 'general', 'action', 'modern']"
Battlezone,Xbox360,2008-04-16,50,0.0,StainlessGames,"action,simulation,tank,general",4,12,0,2008,4,16,Mie,"['action', 'tank', 'simulation', 'general']"
Death by Game Show,PC,2016-01-22,50,0.0,Oointah,"action,arcade",1,10,0,2016,1,22,Vie,"['arcade', 'action']"
Bugs vs. Tanks!,3DS,2013-06-20,50,70.0,"Level5,NATSUMEATARIInc.","action,general,general",No info,14,8,2013,6,20,Jue,"['action', 'general']"
Bubble Bobble Double Shot,DS,2008-03-03,50,44.0,MarvelousEntertainment,"action,platformer,platformer,2d,2d",3,12,5,2008,3,3,Lun,"['2d', 'action', 'platformer']"
Minority Report: Everybody Runs,PlayStation2,2002-11-18,50,53.0,Treyarch,"action,shooter,third-person,sci-fi",1,26,15,2002,11,18,Lun,"['action', 'third-person', 'shooter', 'sci-fi']"
Disney's Magical Mirror Starring Mickey Mouse,GameCube,2002-08-13,50,78.0,Capcom,"adventure,third-person,fantasy",1,9,12,2002,8,13,Mar,"['third-person', 'adventure', 'fantasy']"
Alfred Hitchcock presents The Final Cut,PC,2002-03-31,50,68.0,ArxelTribe,"actionadventure,modern,general,modern",1,17,6,2002,3,31,Dom,"['actionadventure', 'general', 'modern']"
Spyro: Shadow Legacy,DS,2005-10-18,50,53.0,AmazeEntertainment,"actionadventure,fantasy,general,fantasy",1,18,22,2005,10,18,Mar,"['actionadventure', 'fantasy', 'general']"
Divide,PlayStation4,2017-01-31,50,0.0,ExplodingTubaStudios,"actionadventure,linear",1,14,0,2017,1,31,Mar,"['actionadventure', 'linear']"
A Witch's Tale,DS,2009-10-13,50,70.0,"NipponIchiSoftware,HitMaker","role-playing,general,general",1,17,8,2009,10,13,Mar,"['role-playing', 'general']"
AO International Tennis,PlayStation4,2018-05-08,50,60.0,BigAntStudios,"sports,individual,tennis",4,16,65,2018,5,8,Mar,"['tennis', 'sports', 'individual']"
AereA,XboxOne,2017-06-30,50,40.0,"TriangleStudios,Soedesco","role-playing,actionrpg",1,7,4,2017,6,30,Vie,"['role-playing', 'actionrpg']"
Double Dragon IV,PC,2017-01-30,50,57.0,ArcSystemWorks,"action,beat-'em-up,2d",No info,9,14,2017,1,30,Lun,"['2d', 'action', ""beat-'em-up""]"
