Nombre,Plataforma,Fecha_Salida,Score,Score_Jugadores,Desarrollador,Genero,Jugadores,Criticos,Usuarios,Anio,Mes,Numero_Dia,Nombre_Dia,Lista_Generos
Dynasty Warriors 6 Empires,PlayStation3,2009-06-23,62,71.0,OmegaForce,"action,beat-'em-up,beat-'em-up,3d",1,22,27,2009,6,23,Mar,"['action', ""beat-'em-up"", '3d']"
Betrayer,PC,2013-08-14,62,72.0,BlackpowderGames,"modern,adventure,3d,first-person",1,35,131,2013,8,14,Mie,"['first-person', 'adventure', '3d', 'modern']"
WWE 2K15,PlayStation4,2014-11-18,62,52.0,Yuke's,"action,sports,fighting,individual,combat,wrestling",>4,44,178,2014,11,18,Mar,"['wrestling', 'sports', 'individual', 'fighting', 'action', 'combat']"
Raging Justice,Switch,2018-05-08,62,59.0,MakinGames,"action,beat-'em-up,2d",1,10,13,2018,5,8,Mar,"['2d', 'action', ""beat-'em-up""]"
Crystal Defenders R1,Wii,2009-04-20,62,0.0,SquareEnix,"simulation,general,general",1,8,0,2009,4,20,Lun,"['simulation', 'general']"
Space Force: Rogue Universe,PC,2007-06-05,62,59.0,ProvoxGames,"simulation,sci-fi,space,largespaceship,largespaceship,civilian",1,15,33,2007,6,5,Mar,"['sci-fi', 'civilian', 'simulation', 'space', 'largespaceship']"
Pogo Island,DS,2007-03-26,62,0.0,EACanada,"actionadventure,fantasy,fantasy",2,13,0,2007,3,26,Lun,"['fantasy', 'actionadventure']"
The Complex,PC,2020-03-31,62,73.0,WalesInteractiveLtd.,"adventure,general",1,14,19,2020,3,31,Mar,"['general', 'adventure']"
The Spiderwick Chronicles,Wii,2008-02-05,62,0.0,StormfrontStudios,"adventure,general,general",1,13,0,2008,2,5,Mar,"['general', 'adventure']"
Trinity Universe,PlayStation3,2010-06-29,62,75.0,"Gust,IdeaFactory","role-playing,general,general,japanese-style",1,25,28,2010,6,29,Mar,"['general', 'role-playing', 'japanese-style']"
Gunpey,PSP,2006-11-17,62,0.0,QEntertainment,"miscellaneous,puzzle,puzzle,general,puzzle,general",2,24,0,2006,11,17,Vie,"['general', 'puzzle', 'miscellaneous']"
Haunted Dungeons: Hyakki Castle,Switch,2018-08-30,62,0.0,AsakusaStudios,"role-playing,general",1,9,0,2018,8,30,Jue,"['general', 'role-playing']"
The Little Acre,PC,2016-12-13,62,65.0,PewterGamesStudios,"actionadventure,linear",1,12,22,2016,12,13,Mar,"['linear', 'actionadventure']"
Back to Bed,PlayStation4,2015-08-25,62,52.0,"BedtimeDigitalGames,LOOTInteractive","action,general",No info,8,13,2015,8,25,Mar,"['general', 'action']"
Breach & Clear: Deadline,PC,2015-07-20,62,68.0,MightyRabbitStudios,"strategy,real-time,tactics",1,8,5,2015,7,20,Lun,"['tactics', 'real-time', 'strategy']"
Color Guardians,PlayStation4,2015-05-12,62,62.0,FairPlayLabs,"action,platformer,3d",No info,16,59,2015,5,12,Mar,"['3d', 'action', 'platformer']"
Conception II: Children of the Seven Stars,3DS,2014-04-15,62,76.0,"Spike,SpikeChunsoft","role-playing,console-stylerpg,japanese-style",1,11,42,2014,4,15,Mar,"['console-stylerpg', 'role-playing', 'japanese-style']"
Bakugan: Defenders of the Core,Xbox360,2010-10-26,62,0.0,NowProduction,"action,general,general",1,10,0,2010,10,26,Mar,"['general', 'action']"
Spider-Man: Friend or Foe,PlayStation2,2007-10-02,62,80.0,NextLevelGames,"action,general",2,15,34,2007,10,2,Mar,"['general', 'action']"
Mysterious Journey II,PC,2003-11-25,62,48.0,Detalion,"adventure,3d,first-person,sci-fi,sci-fi",1,18,5,2003,11,25,Mar,"['sci-fi', 'first-person', 'adventure', '3d']"
The Hobbit,PC,2003-11-10,62,70.0,InevitableEntertainment,"actionadventure,fantasy,general,fantasy",1,12,19,2003,11,10,Lun,"['fantasy', 'general', 'actionadventure']"
Dragon's Lair 3D: Return to the Lair,PC,2002-11-18,61,0.0,"Dragonstone,DragonstoneSoftware","action,actionadventure,platformer,platformer,linear,3d,3d",1,13,0,2002,11,18,Lun,"['actionadventure', 'platformer', 'linear', 'action', '3d']"
WWE SmackDown vs. Raw 2008,DS,2007-11-13,61,66.0,AmazeEntertainment,"action,sports,fighting,fighting,individual,wrestling,combat,wrestling",2,12,16,2007,11,13,Mar,"['wrestling', 'sports', 'individual', 'fighting', 'action', 'combat']"
Forza Horizon 2 Presents Fast & Furious,XboxOne,2015-03-27,61,78.0,PlaygroundGames,"racing,simulation,automobile",No info,12,123,2015,3,27,Vie,"['simulation', 'automobile', 'racing']"
Sphinx and the Cursed Mummy,Switch,2019-01-29,61,69.0,Eurocom,"actionadventure,general",1,15,20,2019,1,29,Mar,"['general', 'actionadventure']"
Athens 2004,PlayStation2,2004-07-14,61,74.0,EurocomEntertainmentSoftware,"sports,olympicsports",4,57,14,2004,7,14,Mie,"['sports', 'olympicsports']"
Nickelodeon Danny Phantom: Urban Jungle,DS,2006-09-19,61,0.0,Altron,"action,shooter,shooter,scrolling,scrolling,shoot-'em-up,vertical",2,9,0,2006,9,19,Mar,"['shooter', 'action', 'scrolling', 'vertical', ""shoot-'em-up""]"
F.E.A.R. Perseus Mandate,PC,2007-11-06,61,72.0,TimeGateStudios,"action,shooter,shooter,first-person,modern,modern,arcade",>4,27,131,2007,11,6,Mar,"['modern', 'first-person', 'shooter', 'action', 'arcade']"
Rory McIlroy PGA Tour,PlayStation4,2015-07-14,61,38.0,EATiburon,"traditional,sports,individual,golf,sim",>4,33,89,2015,7,14,Mar,"['sports', 'golf', 'individual', 'sim', 'traditional']"
99Vidas,PlayStation4,2017-07-18,61,65.0,QUByteInteractive,"action,beat-'em-up,2d",4,11,37,2017,7,18,Mar,"['2d', 'action', ""beat-'em-up""]"
Blacklight: Tango Down,Xbox360,2010-07-07,61,73.0,ZombieStudios,"action,shooter,shooter,first-person,modern,tactical,modern,arcade",1,44,68,2010,7,7,Mie,"['modern', 'first-person', 'shooter', 'action', 'arcade', 'tactical']"
Breach (2011),PC,2011-01-26,61,58.0,AtomicGames,"action,shooter,shooter,first-person,tactical,modern,modern",No info,12,44,2011,1,26,Mie,"['modern', 'first-person', 'shooter', 'action', 'tactical']"
Vigor,XboxOne,2018-07-31,61,80.0,BohemiaInteractive,"actionadventure,survival",1,8,46,2018,7,31,Mar,"['survival', 'actionadventure']"
Lost Planet 3,PlayStation3,2013-08-27,61,57.0,SparkUnlimited,"action,shooter,shooter,third-person,sci-fi,sci-fi,arcade",>4,30,107,2013,8,27,Mar,"['sci-fi', 'shooter', 'arcade', 'action', 'third-person']"
